numCommande;nomClient;numTelClient;mailClient;adresseClient;codePostalClient;villeClient;dateCommande;datePaiement;dateRealisation;nomDestinataire;numTelDestinataire;adresseDestinataire;codePostalDestinataire;villeDestinataire;dateLivraisonEffective
1;Deschamps;"0696182788";deschamps@icloud.com;35, Rue de la Solidarité;69450;Saint-Cyr-au-Mont-d'Or;01/12/2020;11/12/2020;17/12/2020;Martinez;"0676324532";21, Rue du Marché;69960;Corbas;18/12/2020
2;Boutique Tendance et Cie;"0766092349";tendance_et_cie@free.fr;4, Boulevard de Verdun;69280;Marcy-l'Étoile;01/12/2020;15/12/2020;18/12/2020;Boutique Tendance et Cie;"0766092349";4, Boulevard de Verdun;69280;Marcy-l'Étoile;23/12/2020
3;Mercier;"0779581408";mercier@hotmail.com;19, Boulevard de la Paix;69130;Écully;02/12/2020;03/12/2020;10/12/2020;Mottet;"0672745223";20, Rue de la Solidarité;69160;Tassin-la-Demi-Lune;15/12/2020
4;Fournier;"0732561177";fournier@orange.fr;34, Avenue de Wagram;69360;Solaize;02/12/2020;10/12/2020;22/12/2020;Leblanc;"0711308496";50, Avenue du Général Leclerc;69390;Vernaison;28/12/2020
5;Restaurant Jardin des Délices;"0716141429";jardin_des_délices@protonmail.com;48, Rue Saint-Yves;69370;Saint-Didier-au-Mont-d'Or;02/12/2020;15/12/2020;29/12/2020;;"";;;;
6;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@icloud.com;25, Rue de l'Église;69007;Lyon 7eme;03/12/2020;11/12/2020;21/12/2020;Boutique Fabrique de Rêves;"0648624826";25, Rue de l'Église;69007;Lyon 7eme;23/12/2020
7;Olivier;"0652790453";olivier@hotmail.com;50, Rue des Colibris;69730;Genay;07/12/2020;08/12/2020;10/12/2020;Boyer;"0675016227";9, Rue des Moineaux;69300;Caluire-et-Cuire;15/12/2020
8;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@icloud.com;25, Rue de l'Église;69007;Lyon 7eme;07/12/2020;11/12/2020;18/12/2020;Boutique Fabrique de Rêves;"0648624826";25, Rue de l'Église;69007;Lyon 7eme;18/12/2020
9;Blanchard;"0668920585";blanchard@gmail.com;37, Rue des Fleurs;69760;Limonest;08/12/2020;08/12/2020;11/12/2020;Meunier;"0661308877";22, Rue des Jardins;69100;Villeurbanne;14/12/2020
10;Joly;"0644846114";joly@protonmail.com;14, Avenue de Wagram;69580;Sathonay-Village;08/12/2020;14/12/2020;15/12/2020;Joly;"0644846114";14, Avenue de Wagram;69580;Sathonay-Village;17/12/2020
